"esr";"status";"type";"osm_id";"lat";"lon";"name";"alt_name";"old_name";"official_name";"railway";"user"
"165720";"1";"0";"271089133";"55.02116776";"30.60265923";"Выдрея";"";"";"";"halt";"165720"
"165735";"1";"0";"5779606198";"55.03121185";"30.43973732";"Крынки";"";"";"";"station";"165735"
"165741";"1";"0";"1967199884";"55.06690598";"30.36223412";"Копты";"Копты";"";"";"halt";"165741"
"165754";"1";"0";"306066283";"55.11132812";"30.29799652";"Заболотинка";"";"";"";"station";"165754"
"165769";"1";"0";"4082983115";"55.15153122";"30.21483612";"Лучёса";"";"";"";"station";"165769"
"166403";"1";"0";"1942498709";"54.52074051";"30.37623215";"Орша-Центральная";"";"";"";"station";""
"166418";"1";"0";"271090976";"54.5474472";"30.42093468";"Городнянский";"";"";"";"halt";"166418"
"166422";"1";"0";"271090970";"54.59528732";"30.43349266";"Хлусово";"";"";"";"station";"166422"
"166507";"1";"0";"1563477362";"54.50429153";"30.37508011";"Орша-Западная";"";"";"";"station";"166507"
"166600";"1";"0";"1563473239";"54.4450264";"30.32196999";"Червено";"";"";"";"station";"166600"
"166615";"1";"0";"1838736503";"54.41119003";"30.3035183";"Звёздный";"";"";"";"halt";"166615"
"166704";"1";"0";"919483758";"54.50631332";"30.4018898";"Орша-Восточная";"";"";"";"station";"166704"
"166723";"1";"0";"6910989020";"54.56620407";"30.41059875";"Можеевка";"";"";"";"station";"166723"
"166738";"1";"0";"3327244471";"54.62336349";"30.38431931";"Юрцево";"";"";"";"halt";"166738"
"166761";"1";"0";"3327244469";"54.68525314";"30.31668472";"Стайки";"";"";"";"station";"166761"
"166776";"1";"0";"3327626029";"54.75361633";"30.27746582";"Лужки";"";"";"";"halt";"166776"
"166776";"1";"0";"3327626030";"54.75362015";"30.27753067";"Лужки";"";"";"";"halt";"166776"
"166808";"1";"0";"306066018";"54.54224014";"30.44761276";"Орша-Северная";"";"";"";"station";"166808"
"167001";"1";"0";"306066261";"54.84292603";"30.20714188";"Богушевская";"";"";"";"station";"167001"
